"statistikkvariabel"	"konsumgruppe"	"1979"	"1980"	"1981"	"1982"	"1983"	"1984"	"1985"	"1986"	"1987"	"1988"	"1989"	"1990"	"1991"	"1992"	"1993"	"1994"	"1995"	"1996"	"1997"	"1998"	"1999"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"	"2020"	"2021"	"2022"
"Årsendring (prosent)"	"09.1.4 Innspillingsmedier"	..	15.7	18.0	7.6	5.2	8.4	5.4	8.1	7.3	0.3	1.9	4.7	4.4	3.8	3.7	0.5	1.9	0.4	0.5	0.8	1.0	1.8	-2.5	-1.2	-2.1	0.6	-4.8	-2.6	-1.9	-2.1	-0.4	1.5	-2.4	-1.2	3.5	2.3	0.4	4.4	4.6	4.6	1.1	1.4	2.6	0.5
"Årsendring (prosent)"	"09.1.5 Reparasjon av audiovisuelt-, foto- og IT-utstyr"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Årsendring (prosent)"	"09.2.1 Større varige konsumvarer knyttet til utendørs fritidsaktiviteter"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Årsendring (prosent)"	"09.2.2 Musikkinstrumenter og innendørs trenings- og hobbyutstyr"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Årsendring (prosent)"	"09.3.1 Spill, leker og hobbyer"	..	9.8	4.5	5.3	5.8	7.0	9.9	13.5	15.8	7.3	3.1	1.2	-2.3	1.8	3.4	2.8	1.3	-4.2	-1.7	0.4	1.3	0.1	-0.5	-3.6	-0.9	-2.1	-1.3	-2.6	2.7	2.4	1.2	-4.9	2.1	-3.1	-5.0	4.1	1.8	1.7	-2.9	1.0	2.0	6.9	2.0	1.3
"Årsendring (prosent)"	"09.3.2 Utstyr til sport, camping og friluftsliv"	..	7.9	5.6	11.0	5.7	2.6	5.9	5.4	7.7	4.9	1.2	0.5	3.0	3.2	3.6	2.0	1.8	-0.5	1.4	1.1	2.6	1.6	1.8	2.5	1.0	0.3	-0.9	3.0	-3.5	-2.0	4.8	1.6	-0.4	0.2	-1.3	-1.0	1.8	1.9	1.0	-1.5	-0.3	-0.6	2.6	1.6
"Årsendring (prosent)"	"09.3.3 Hager, planter og blomster"	..	8.1	8.9	9.8	3.9	7.8	4.8	5.1	8.7	4.9	4.9	7.1	5.7	-0.4	2.2	-0.9	1.1	-0.7	4.9	1.2	4.2	1.6	3.0	5.5	1.6	2.3	3.1	1.8	0.3	8.3	7.3	0.2	1.1	2.1	1.7	2.9	5.2	4.4	2.5	-0.6	3.0	3.0	8.3	7.5
"Årsendring (prosent)"	"09.3.4 Kjæledyr og produkter til kjæledyr"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Årsendring (prosent)"	"09.4.1 Sport- og fritidstjenester"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Årsendring (prosent)"	"09.4.2 Kulturtjenester"	..	8.2	13.0	13.4	7.2	6.3	5.9	8.0	8.7	8.0	5.8	5.5	6.7	4.4	2.7	2.6	4.4	1.6	1.6	2.3	1.7	3.8	4.5	3.5	3.8	2.7	6.9	4.3	5.2	4.9	6.4	4.9	1.5	2.1	3.6	3.2	3.0	6.5	2.6	3.0	4.0	5.6	3.2	4.1
"Årsendring (prosent)"	"09.5.1 Bøker"	..	6.0	13.5	14.9	9.3	9.5	5.6	5.8	7.5	6.5	5.7	8.0	5.7	3.4	4.9	2.3	4.2	4.2	1.5	0.3	5.4	4.5	2.1	5.0	8.7	2.5	0.9	1.8	6.4	0.5	0.5	1.2	-2.9	2.7	-3.2	-0.7	4.4	1.7	0.7	2.6	0.8	4.7	7.2	8.7
"Årsendring (prosent)"	"09.5.2 Aviser og tidsskrifter"	..	6.8	11.2	12.2	9.6	9.4	8.6	9.4	8.6	10.0	8.7	4.2	9.3	6.1	7.2	4.8	3.3	3.7	3.6	2.8	5.4	5.1	3.6	4.5	3.7	3.4	2.6	2.7	2.1	6.0	7.9	4.2	5.6	4.6	4.3	8.1	8.9	6.5	6.0	4.1	3.4	3.2	2.5	3.3
"Årsendring (prosent)"	"09.5.4 Papir- og tegnemateriell"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Årsendring (prosent)"	"09.6.0 Pakketurer"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	..	4.7	2.3	0.1	0.0	1.0	1.5	5.0	5.0	5.2	4.9	2.2	2.0	10.6
"Årsendring (prosent)"	"11.1.1 Restauranter, kafeer o.l."	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Årsendring (prosent)"	"11.1.2 Kantiner"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Årsendring (prosent)"	"11.2.0 Overnattingstjenester"	..	7.1	14.3	20.0	15.3	9.6	9.1	10.6	12.1	11.8	9.1	6.0	4.9	5.7	4.7	2.0	2.8	2.5	2.4	3.9	2.7	-3.0	2.3	4.9	-1.9	-1.8	-0.3	8.3	7.9	6.2	-1.1	1.1	-1.2	-4.1	-1.1	-0.4	-0.3	2.4	5.1	0.8	-0.6	-7.3	5.4	16.0
"Årsendring (prosent)"	"12.1.1 Frisørsalonger og virksomheter tilknyttet personlig pleie"	..	8.5	20.6	20.3	12.2	10.2	8.7	13.6	14.2	11.6	3.8	4.7	5.4	4.5	3.5	2.0	4.1	2.9	3.6	7.2	6.7	6.1	7.3	5.7	5.4	4.4	5.9	4.3	4.6	5.8	5.3	5.1	4.6	3.6	3.8	4.0	3.3	3.3	3.5	2.8	1.9	3.6	4.1	4.6
"Årsendring (prosent)"	"12.1.2 Elektriske apparater til personlig pleie"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Årsendring (prosent)"	"12.1.3 Andre apparater, artikler og produkter til personlig pleie"	..	7.5	11.1	10.6	8.6	3.5	5.2	3.9	5.8	5.2	4.3	1.9	0.3	-1.3	-5.5	0.3	3.1	2.4	1.6	2.1	2.2	0.7	5.9	3.0	1.1	1.1	0.7	1.1	3.8	3.7	2.9	2.3	3.7	0.4	0.4	-0.2	1.5	6.1	1.6	-1.9	-0.9	1.4	1.1	1.9
"Årsendring (prosent)"	"12.3.1 Smykker, klokker og ur"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Årsendring (prosent)"	"12.3.2 Andre personlige effekter"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Årsendring (prosent)"	"12.4.0 Sosiale omsorgstjenester"	..	6.3	13.2	10.5	6.8	3.9	6.4	6.2	6.3	10.3	10.7	12.0	3.8	-0.6	2.5	4.5	5.7	3.1	4.2	3.4	5.8	4.6	4.3	-1.9	-1.1	-6.9	-0.3	-11.8	2.2	1.2	1.9	1.5	1.7	2.0	2.0	3.3	3.7	0.5	1.9	4.2	2.2	2.2	1.1	0.0
"Årsendring (prosent)"	"12.5.2 Boligforsikring"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Årsendring (prosent)"	"12.5.4 Transportforsikring"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Årsendring (prosent)"	"12.6.2 Finansielle tjenester ellers"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	..	1.8	4.4	-0.1	-0.5	0.0	0.8	1.9	0.6	6.0	1.2	3.4	-0.6	-0.5	2.6	-0.3	0.4	3.3	0.7	0.6
"Årsendring (prosent)"	"12.7.0 Andre tjenester"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	..	2.5	1.2	0.4	2.2	3.1	2.7	3.1	3.4	2.5	2.4	8.8	4.2	1.1
